eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km,planning_priority_score,tree_contact_exposure_proxy,outage_history_proxy_score
0.0,27.6,72.0,14.0,0.2479,-0.4261,100.0,34.5,10.01,45.28,61.76,15.936388888888889
0.0,27.6,0.3,0.91,0.2479,-0.4261,100.0,47.5,7.24,35.03,33.88,15.936388888888889
0.0,27.6,2.82,11.69,0.2479,-0.4261,100.0,47.5,8.77,36.29,35.85,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.32,44.76,44.8,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.33,42.82,40.85,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.68,43.1,40.94,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.34,44.38,44.12,15.936388888888889
0.0,27.6,25.0,0.0,0.2479,-0.4261,100.0,47.5,9.41,48.27,52.05,15.936388888888889
0.0,27.6,53.25,13.11,0.2479,-0.4261,100.0,34.5,11.06,44.63,57.86,15.936388888888889
0.0,27.6,23.39,47.58,0.2479,-0.4261,100.0,47.5,8.13,41.78,44.94,15.936388888888889
0.0,27.6,0.0,41.89,0.2479,-0.4261,100.0,47.5,7.03,43.88,43.27,15.936388888888889
0.0,27.6,0.0,1.33,0.2479,-0.4261,100.0,47.5,6.3,38.03,36.47,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,6.56,44.57,42.84,15.936388888888889
0.0,27.6,93.36,3.54,0.2479,-0.4261,100.0,47.5,6.77,46.86,61.28,15.936388888888889
0.0,27.6,22.22,0.0,0.2479,-0.4261,100.0,34.5,12.92,43.88,50.81,15.936388888888889
0.0,27.6,9.95,89.04,0.2479,-0.4261,100.0,34.5,19.54,42.94,45.36,15.936388888888889
0.0,27.6,41.5,51.19,0.2479,-0.4261,100.0,34.5,19.09,41.17,51.71,15.936388888888889
