aoi_id,scene_id,tile,sensing_date,ndvi_mean,ndmi_mean,cloud_filtered_pct,status,notes
okanagan_corridor,S2C_MSIL2A_20260116T190731_N0511_R013_T11UMR_20260116T201709,T11UMR,2026-01-16,0.1832,-0.2944,0.02,processed,
okanagan_corridor,S2C_MSIL2A_20260116T190731_N0511_R013_T11UMS_20260116T201709,T11UMS,2026-01-16,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260119T191721_N0511_R056_T10UFV_20260119T203312,T10UFV,2026-01-19,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260119T191721_N0511_R056_T10UGA_20260119T203312,T10UGA,2026-01-19,0.1837,-0.3753,0.0,processed,
okanagan_corridor,S2C_MSIL2A_20260123T185701_N0511_R113_T11UMS_20260123T201014,T11UMS,2026-01-23,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260208T191541_N0512_R056_T10UFV_20260208T220216,T10UFV,2026-02-08,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260212T185511_N0512_R113_T10UGA_20260212T203212,T10UGA,2026-02-12,0.21,-0.422,0.06,processed,
okanagan_corridor,S2C_MSIL2A_20260212T185511_N0512_R113_T10UGA_20260212T213610,T10UGA,2026-02-12,0.193,-0.4474,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260212T185511_N0512_R113_T10UGB_20260212T203212,T10UGB,2026-02-12,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260212T185511_N0512_R113_T11ULR_20260212T203212,T11ULR,2026-02-12,0.2051,-0.4147,0.07,processed,
okanagan_corridor,S2C_MSIL2A_20260212T185511_N0512_R113_T11ULR_20260212T213610,T11ULR,2026-02-12,0.1948,-0.4454,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260212T185511_N0512_R113_T11ULS_20260212T203212,T11ULS,2026-02-12,0.2223,-0.4237,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260215T190501_N0512_R013_T10UFA_20260215T204410,T10UFA,2026-02-15,0.1582,-0.4568,0.06,processed,
okanagan_corridor,S2C_MSIL2A_20260215T190501_N0512_R013_T10UFV_20260215T204410,T10UFV,2026-02-15,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260215T190501_N0512_R013_T10UFV_20260215T214209,T10UFV,2026-02-15,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260215T190501_N0512_R013_T10UGA_20260215T204410,T10UGA,2026-02-15,0.2036,-0.437,0.13,processed,
okanagan_corridor,S2C_MSIL2A_20260215T190501_N0512_R013_T10UGV_20260215T204410,T10UGV,2026-02-15,0.2129,-0.4382,0.04,processed,
okanagan_corridor,S2C_MSIL2A_20260215T190501_N0512_R013_T11ULQ_20260215T204410,T11ULQ,2026-02-15,0.206,-0.4492,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260215T190501_N0512_R013_T11ULR_20260215T204410,T11ULR,2026-02-15,0.2118,-0.4264,0.14,processed,
okanagan_corridor,S2C_MSIL2A_20260215T190501_N0512_R013_T11UMR_20260215T204410,T11UMR,2026-02-15,0.249,-0.3135,0.01,processed,
okanagan_corridor,S2C_MSIL2A_20260228T191331_N0512_R056_T10UFV_20260228T221909,T10UFV,2026-02-28,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
