eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km
0.0,27.6,0.0,50.0,0.2479,-0.4261,100.0,34.5,17.64
0.0,27.6,96.88,3.12,0.2479,-0.4261,100.0,34.5,19.02
0.0,27.6,71.75,27.7,0.2479,-0.4261,100.0,34.5,18.43
0.0,27.6,15.72,84.28,0.2479,-0.4261,100.0,34.5,15.06
0.0,27.6,19.18,80.82,0.2479,-0.4261,100.0,34.5,18.06
0.0,27.6,14.48,75.41,0.2479,-0.4261,100.0,47.5,8.5
0.0,27.6,23.17,76.83,0.2479,-0.4261,100.0,34.5,11.87
0.0,27.6,47.92,18.75,0.2479,-0.4261,100.0,47.5,6.6
0.0,27.6,4.89,78.44,0.2479,-0.4261,100.0,47.5,7.06
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,8.11
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,8.08
0.0,27.6,21.48,73.25,0.2479,-0.4261,100.0,34.5,12.68
0.0,27.6,16.97,75.88,0.2479,-0.4261,100.0,47.5,9.34
0.0,27.6,22.82,72.47,0.2479,-0.4261,100.0,47.5,9.32
0.0,27.6,21.43,54.2,0.2479,-0.4261,100.0,47.5,7.29
0.0,27.6,58.06,3.23,0.2479,-0.4261,100.0,47.5,6.51
0.0,27.6,33.33,6.06,0.2479,-0.4261,100.0,47.5,6.5
0.0,27.6,27.31,11.45,0.2479,-0.4261,100.0,47.5,5.98
0.0,27.6,10.07,35.14,0.2479,-0.4261,100.0,57.25,4.69
0.0,27.6,4.01,4.74,0.2479,-0.4261,100.0,57.25,4.27
0.0,27.6,0.0,1.27,0.2479,-0.4261,100.0,47.5,5.09
0.0,27.6,1.02,3.07,0.2479,-0.4261,100.0,47.5,5.61
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,57.25,4.9
0.0,27.6,21.37,34.35,0.2479,-0.4261,100.0,34.5,10.97
0.0,27.6,72.0,14.0,0.2479,-0.4261,100.0,34.5,10.01
0.0,27.6,0.3,0.91,0.2479,-0.4261,100.0,47.5,7.24
0.0,27.6,2.82,11.69,0.2479,-0.4261,100.0,47.5,8.77
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.32
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.33
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.68
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.34
0.0,27.6,25.0,0.0,0.2479,-0.4261,100.0,47.5,9.41
0.0,27.6,53.25,13.11,0.2479,-0.4261,100.0,34.5,11.06
0.0,27.6,23.39,47.58,0.2479,-0.4261,100.0,47.5,8.13
